Date/Time	City	State	Shape	Duration	Summary	Posted	Month	Day	Date	Time	Periods	Duration_Sec	US_STATE	Lat	Long
9/27/15 20:30	Sun City West	AZ	Circle	30 minutes	On the same night as the blood moon I got more than a blood. moon to observe I had the company of two interstellar observers o allong f	9/29/15	9	27	9/27/15	20:30	11	1800.0	1	33.661977709	-112.341267636
9/27/15 20:30	Paradise	CA	Light	15 minutes	Swarm of lights.	9/29/15	9	27	9/27/15	20:30	11	900.0	1	39.759607119	-121.621919091
9/27/15 20:27	Yucca Valley	CA	Triangle	10 seconds	Massive triangle over Yucca Valley on night of the eclipse.	10/9/15	9	27	9/27/15	20:27	11	10.0	1	34.114169583	-116.432237113
9/27/15 20:25	Long Beach	CA	Light	20 seconds	2 blinking blue lights high in sky not moving. Then headed west extremely fast, stopped again then moved west.	9/29/15	9	27	9/27/15	20:25	11	20.0	1	33.766957894	-118.189227701
9/27/15 20:22	Colorado Springs	CO	Sphere	2 minutes	Bright white light witnessed during blood moon event.	9/29/15	9	27	9/27/15	20:22	11	120.0	1	38.833877266	-104.821359437
9/27/15 20:20	Scandia	MN	Light	70 minutes	Saw a trio of red, green and white brightly and rapidly twinkling lights, stationary, high in the sky and directly north and about 3 tr	9/29/15	9	27	9/27/15	20:20	11	4200.0	1	45.253579095	-92.805769675
9/27/15 20:00	Gresham	OR	Light	2 hours	Fixed bright multicolored light in the NW sky after sunset, looked like a very bright star but seemed too brilliant for the usual star.	10/2/15	9	27	9/27/15	20:00	11	7200.0	1	45.49817739	-122.431478253
9/27/15 20:00	Modena	NY		20:05	Orange/red sphere...hovering the treeline.	9/29/15	9	27	9/27/15	20:00	11	877.0	1	41.668427734	-74.102639351
9/27/15 20:00	Vancouver	WA	Light	5 minutes	Flashing red light moving fast and erratic.	9/29/15	9	27	9/27/15	20:00	11	300.0	1	45.638726918	-122.661488842
9/27/15 20:00	Boston	MA	Unknown	~15	>30 glowing specks in a massive group flying north from the east over the ocean.	9/29/15	9	27	9/27/15	20:00	11	877.0	1	42.358428005	-71.059766369
9/27/15 20:00	Rochester	NY	Fireball	1 minute	Bright orange orbs hoovering and zipping through the atmosphere with ease.	10/2/15	9	27	9/27/15	20:00	11	60.0	1	43.154776339	-77.615558622
9/27/15 20:00	Greeley	CO	Triangle	7 seconds	Black triangle.	9/29/15	9	27	9/27/15	20:00	11	7.0	1	40.423307223	-104.709125896
9/27/15 19:45	Wayne	MI	Formation	5 minute	Strange orange and red lights flying in formation.	9/29/15	9	27	9/27/15	19:45	10	300.0	1	42.281426338	-83.386319037
9/27/15 19:43	 Norwalk	CT	Triangle	1 minute	All of the sudden this huge bright object appears from nowhere (V-shape) flying very slow towards the moon	10/2/15	9	27	9/27/15	19:43	10	60.0	1	41.117595614	-73.407896501
9/27/15 19:33	Los Angeles	CA	Light	1 second	Bright white steady light heading eastward at about 50 degrees elevation about northeast from my house.	9/29/15	9	27	9/27/15	19:33	10	1.0	1	34.052228079	-118.243677369
9/27/15 19:30	Las Vegas	NV	Circle	15 minutes	Multiple white lights above the mountain ridge and traversing the mountain.	9/29/15	9	27	9/27/15	19:30	10	900.0	1	36.174968712	-115.13721603
9/27/15 19:25	San Bernardino	CA	Light	50 seconds	Around 7:25PM I witness in the sky coming from the south heading east a large group of what it seemed to be orange flickering lights,	9/29/15	9	27	9/27/15	19:25	10	50.0	1	34.1083381	-117.289766517
9/27/15 19:15	Paso Robles	CA	Light	5 minutes	Intense Red Light Observed over Paso Robles, CA.	9/29/15	9	27	9/27/15	19:15	10	300.0	1	35.62663837	-120.690996699
9/27/15 19:00	Flanders	NJ	Light	5 minutes	Four orange lights over Flanders, NJ.	9/29/15	9	27	9/27/15	19:00	10	300.0	1	40.845648746	-74.694876797
9/27/15 18:34	San Tan Valley	AZ	Sphere	2 minutes	Black sphere rose from the west. It made no noise as it traveled south. Then descended again.I couldn't tell the sizebut it was perfect	9/29/15	9	27	9/27/15	18:34	10	120.0	1	33.191098994	-111.527996304
9/27/15 18:00	Los Angeles	CA	Teardrop	2 minutes	9/27/2015  Los Angeles, CA.   three minutes  silver, verticle cigar shape with side panels  heading west	9/29/15	9	27	9/27/15	18:00	10	120.0	1	34.052228079	-118.243677369
9/27/15 17:45	Fremont 	OH	Other	15 minutes ?	Black hot air balloon shaped object that didn't appear to move. Stayed same shape, size and apparent direction of Toledo, OH/Lake Erie	9/29/15	9	27	9/27/15	17:45	9	900.0	1	41.350328462	-83.121859505
9/27/15 16:00	Tacoma	WA	Light	20 minutes	Bright Red lights in eastern sky.	11/6/15	9	27	9/27/15	16:00	9	1200.0	1	47.252877682	-122.444288616
9/27/15 12:30	Revere	MA	Light	10 minutes	One of my friends saw a small white light and another red light next to the other one and he ask me if I could see it.	9/29/15	9	27	9/27/15	12:30	7	600.0	1	42.408427568	-71.011989609
9/27/15 08:30	LaGrange	GA	Flash	5 seconds	Pink flash of light followed by a pop.	9/29/15	9	27	9/27/15	08:30	5	5.0	1	33.039286966	-85.031328062
